lat,lon,alt,date,device,os,version
37.5504150391,126.917915344,0,2012-03-25 09:50:56,"iPhone2,1",4.2.1,1.0
37.5504150391,126.917915344,0,2012-03-25 09:50:56,"iPhone4,1",7.0.2,1.1
37.5504302979,126.917961121,0,2012-03-25 09:53:04,"iPhone2,1",4.2.1,1.0
37.550403595,126.917961121,0,2012-03-25 09:53:04,"iPhone2,1",4.2.1,1.0
37.5504302979,126.917961121,0,2012-03-25 09:53:04,"iPhone4,1",7.0.2,1.1
37.550403595,126.917961121,0,2012-03-25 09:53:04,"iPhone4,1",7.0.2,1.1
37.550403595,126.917961121,0,2012-03-25 09:55:12,"iPhone2,1",4.2.1,1.0
37.550403595,126.917961121,0,2012-03-25 09:55:12,"iPhone4,1",7.0.2,1.1
37.5458869934,126.922454834,0,2012-03-25 11:24:48,"iPhone2,1",4.2.1,1.0
37.5458869934,126.922454834,0,2012-03-25 11:24:48,"iPhone4,1",7.0.2,1.1
37.5503540039,126.917938232,0,2012-03-25 11:26:56,"iPhone2,1",4.2.1,1.0
37.5503540039,126.917938232,0,2012-03-25 11:26:56,"iPhone4,1",7.0.2,1.1
37.5503997803,126.917930603,0,2012-03-25 11:48:16,"iPhone2,1",4.2.1,1.0
37.5503997803,126.917930603,0,2012-03-25 11:48:16,"iPhone4,1",7.0.2,1.1
37.5411109924,126.901870728,0,2012-03-25 14:06:56,"iPhone2,1",4.2.1,1.0
37.5295372009,126.90977478,0,2012-03-25 14:06:56,"iPhone2,1",4.2.1,1.0
37.5411109924,126.901870728,0,2012-03-25 14:06:56,"iPhone4,1",7.0.2,1.1
37.5295372009,126.90977478,0,2012-03-25 14:06:56,"iPhone4,1",7.0.2,1.1
37.5187797546,126.922142029,0,2012-03-25 14:09:04,"iPhone2,1",4.2.1,1.0
37.5187797546,126.922142029,0,2012-03-25 14:09:04,"iPhone4,1",7.0.2,1.1
37.5193443298,126.94278717,0,2012-03-25 14:11:12,"iPhone2,1",4.2.1,1.0
37.5193443298,126.94278717,0,2012-03-25 14:11:12,"iPhone4,1",7.0.2,1.1
37.51329422,126.955474854,0,2012-03-25 14:13:20,"iPhone2,1",4.2.1,1.0
37.5008354187,126.948348999,0,2012-03-25 14:13:20,"iPhone2,1",4.2.1,1.0
37.51329422,126.955474854,0,2012-03-25 14:13:20,"iPhone4,1",7.0.2,1.1
37.5008354187,126.948348999,0,2012-03-25 14:13:20,"iPhone4,1",7.0.2,1.1
37.503200531,126.942703247,0,2012-03-25 14:51:44,"iPhone2,1",4.2.1,1.0
37.503200531,126.942703247,0,2012-03-25 14:51:44,"iPhone4,1",7.0.2,1.1
37.503200531,126.942703247,0,2012-03-25 14:53:52,"iPhone2,1",4.2.1,1.0
37.503200531,126.942703247,0,2012-03-25 14:53:52,"iPhone4,1",7.0.2,1.1
37.5030822754,126.945983887,0,2012-03-25 14:56:00,"iPhone2,1",4.2.1,1.0
37.503200531,126.942703247,0,2012-03-25 14:56:00,"iPhone2,1",4.2.1,1.0
37.5030822754,126.945983887,0,2012-03-25 14:56:00,"iPhone4,1",7.0.2,1.1
37.503200531,126.942703247,0,2012-03-25 14:56:00,"iPhone4,1",7.0.2,1.1
37.5135040283,126.955574036,0,2012-03-26 00:36:16,"iPhone2,1",4.2.1,1.0
37.5053520203,126.981208801,0,2012-03-26 00:36:16,"iPhone2,1",4.2.1,1.0
37.5135040283,126.955574036,0,2012-03-26 00:36:16,"iPhone4,1",7.0.2,1.1
37.5053520203,126.981208801,0,2012-03-26 00:36:16,"iPhone4,1",7.0.2,1.1
37.5192375183,126.959075928,0,2012-03-26 00:38:24,"iPhone2,1",4.2.1,1.0
37.5192375183,126.959075928,0,2012-03-26 00:38:24,"iPhone4,1",7.0.2,1.1
37.5356826782,126.971389771,0,2012-03-26 00:40:32,"iPhone2,1",4.2.1,1.0
37.5356826782,126.971389771,0,2012-03-26 00:40:32,"iPhone4,1",7.0.2,1.1
37.535446167,126.974693298,0,2012-03-26 00:42:40,"iPhone2,1",4.2.1,1.0
37.535446167,126.974693298,0,2012-03-26 00:42:40,"iPhone4,1",7.0.2,1.1
37.5519485474,126.969848633,0,2012-03-26 00:44:48,"iPhone2,1",4.2.1,1.0
37.5519485474,126.969848633,0,2012-03-26 00:44:48,"iPhone4,1",7.0.2,1.1
37.563533783,126.983100891,0,2012-03-26 00:49:04,"iPhone2,1",4.2.1,1.0
37.563533783,126.983100891,0,2012-03-26 00:49:04,"iPhone4,1",7.0.2,1.1
37.5548324585,126.994888306,0,2012-03-26 00:57:36,"iPhone2,1",4.2.1,1.0
37.5548324585,126.994888306,0,2012-03-26 00:57:36,"iPhone4,1",7.0.2,1.1
37.5566940308,126.994903564,0,2012-03-26 01:10:24,"iPhone2,1",4.2.1,1.0
37.5566940308,126.994903564,0,2012-03-26 01:10:24,"iPhone4,1",7.0.2,1.1
37.5566940308,126.994903564,0,2012-03-26 01:18:56,"iPhone2,1",4.2.1,1.0
37.5587081909,126.995780945,0,2012-03-26 01:18:56,"iPhone2,1",4.2.1,1.0
37.5566940308,126.994903564,0,2012-03-26 01:18:56,"iPhone4,1",7.0.2,1.1
37.5587081909,126.995780945,0,2012-03-26 01:18:56,"iPhone4,1",7.0.2,1.1
37.5642356873,127.006950378,0,2012-03-26 03:54:40,"iPhone2,1",4.2.1,1.0
37.5642356873,127.006950378,0,2012-03-26 03:54:40,"iPhone4,1",7.0.2,1.1
37.5728607178,127.021614075,0,2012-03-26 04:01:04,"iPhone2,1",4.2.1,1.0
37.5728607178,127.021614075,0,2012-03-26 04:01:04,"iPhone4,1",7.0.2,1.1
37.5813713074,127.039764404,0,2012-03-26 04:07:28,"iPhone2,1",4.2.1,1.0
37.5813713074,127.039764404,0,2012-03-26 04:07:28,"iPhone4,1",7.0.2,1.1
37.5881080627,127.054901123,0,2012-03-26 04:11:44,"iPhone2,1",4.2.1,1.0
